	Name_in_tree	Taxon	Clade	Subclade	Subclade_2	Max_age	Min_age	FL	FC	FML	FAP	HL	HC	HML	HAP	Juvenile	Bonebed
155	not	Mongolosaurus_haplodon	Sauropodomorpha	Titanosauria	Titanosauria	Aptian	Albian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
156	not	Mussaurus_patagonicus	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_2	Norian	Norian	NA	NA	NA	NA	NA	NA	NA	NA	1	0
157	Muyelensaurus	Muyelensaurus_pecheni	Sauropodomorpha	Titanosauria	Titanosauria	Late_Coniacian	Early_Santonian	NA	NA	NA	NA	NA	NA	NA	NA	0	1
158	not	Narambuenatitan_palomoi	Sauropodomorpha	Titanosauria	Titanosauria	Early_Campanian	Middle_Campanian	NA	NA	NA	NA	920	NA	120	NA	0	0
159	Nemegtosaurus	Nemegtosaurus_mongoliensis	Sauropodomorpha	Titanosauria	Titanosauria	Late_Campanian	Early_Maastrichtian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
160	Neuquensaurus	Neuquensaurus_australis	Sauropodomorpha	Titanosauria	Titanosauria	Early_Campanian	Middle_Campanian	810	NA	167	88	NA	NA	103	78	0	1
161	Nigersaurus	Nigersaurus_taqueti	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Aptian	Albian	1000	NA	NA	NA	NA	NA	NA	NA	0	0
162	not	Nopcsaspondylus_alarconensis	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Early_Cenomanian	Early_Cenomanian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
163	not	Ohmdenosaurus_liassicus	Sauropodomorpha	Sauropoda	Sauropoda	Middle_Toarcian	Middle_Toarcian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
164	Omeisaurus_maoanus	Omeisaurus_maoianus	Sauropodomorpha	Eusauropoda	Eusauropoda	Bajocian	Callovian	1120	470	185	NA	785	340	125	85	0	0
165	Omeisaurus_jiaoi	Omeisaurus_jiaoi	Sauropodomorpha	Eusauropoda	Eusauropoda	Bajocian	Callovian	1400	NA	NA	NA	1160	NA	135	NA	0	0
166	Omeisaurus_tianfuensis	Omeisaurus_tianfuensis	Sauropodomorpha	Eusauropoda	Eusauropoda	Bajocian	Callovian	1310	NA	206	NA	1080	NA	183	NA	0	0
167	Omeisaurus_junghsiensis	Omeisaurus_junghsiensis	Sauropodomorpha	Eusauropoda	Eusauropoda	Bajocian	Callovian	NA	460	NA	NA	NA	390	143	NA	0	0
168	Opisthocoelicaudia	Opisthocoelicaudia_skarzynskii	Sauropodomorpha	Titanosauria	Titanosauria	Late_Campanian	Early_Maastrichtian	1395	680	280	108	1000	565	220	NA	0	0
169	not	Duriatitan_humerocristatus	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Late_Kimmeridgian	Late_Kimmeridgian	NA	NA	NA	NA	1372	533	198	NA	0	0
170	not	Sauroposeidon_proteles	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Late_Aptian	Late_Aptian	1442	509	204	NA	NA	451	162	114	1	1
171	Pampdromaeus	Pampadromaeus_barberenai	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Early_Carnian	Middle_Carnian	NA	48	NA	NA	NA	NA	NA	NA	0	0
172	not	Panamericansaurus_schroederi	Sauropodomorpha	Titanosauria	Titanosauria	Late_Campanian	Early_Maastrichtian	NA	NA	NA	NA	1230	418	125	NA	0	0
173	not	Panphagia_protos	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Carnian	Carnian	NA	NA	NA	NA	NA	NA	NA	NA	1	0
174	Pantydraco	Pantydraco_caducus	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Rhaetian	Rhaetian	79	NA	6.8	6.55	NA	NA	NA	NA	1	0
175	Paralititan	Paralititan_stromeri	Sauropodomorpha	Titanosauria	Titanosauria	Early_Cenomanian	Early_Cenomanian	NA	NA	NA	NA	1690	720	NA	NA	0	0
176	Patagosaurus	Patagosaurus_fariasi	Sauropodomorpha	Eusauropoda	Eusauropoda	Aalenian	Early_Bathonian	1275	675	NA	NA	NA	NA	NA	NA	1	0
177	Pelligrinisaurus	Pellegrinisaurus_powelli	Sauropodomorpha	Titanosauria	Titanosauria	Early_Campanian	Middle_Campanian	NA	NA	230	NA	NA	NA	NA	NA	0	0
178	not	Pelorosaurus_conybeari	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Late_Valanginian	Late_Valanginian	NA	NA	NA	NA	1372	NA	156	NA	0	0
179	not	Petrobrasaurus_puestohernandezi	Sauropodomorpha	Titanosauria	Titanosauria	Late_Coniacian	Early_Santonian	1575	NA	235	NA	1200	NA	155	NA	0	0
180	Phuwiangosaurus	Phuwiangosaurus_sirindhornae	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Barremian	Aptian	1250	NA	220	NA	1020	NA	120	NA	0	0
181	not	Pitekunsaurus_macayai	Sauropodomorpha	Titanosauria	Titanosauria	Early_Campanian	Middle_Campanian	NA	NA	175	NA	NA	NA	NA	NA	0	0
182	Plateosauravus	Plateosauravus_cullingworthi	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Norian	Rhaetian	600	NA	97	NA	455	NA	63	53	0	1
183	Plateosaurus_engelhardti	Plateosaurus_engelhardti	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Rhaetian	Rhaetian	685	263	79	65	382	156	54	40	0	1
184	not	Pleurocoelus_nanus	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Early_Aptian	Early_Aptian	394	NA	60	NA	363	NA	54.5	NA	1	1
185	not	Pleurocoelus_altus	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Early_Aptian	Early_Aptian	NA	NA	NA	NA	NA	NA	NA	NA	1	1
186	not	Pradhania_gracilis	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Sinemurian	Sinemurian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
187	not	Puertasaurus_reuili	Sauropodomorpha	Titanosauria	Titanosauria	Early_Maastrichtian	Early_Maastrichtian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
188	Qiaowanlong	Qiaowanlong_kangxii	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Aptian	Albian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
189	not	Qingxiusaurus_youjiangensis	Sauropodomorpha	Titanosauria	Titanosauria	Late_Cretaceous	Late_Cretaceous	NA	NA	NA	NA	900	NA	155	100	0	0
190	not	Quaesitosaurus_orientalis	Sauropodomorpha	Titanosauria	Titanosauria	Middle_Campanian	Middle_Campanian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
191	not	Rapetosaurus_krausei	Sauropodomorpha	Titanosauria	Titanosauria	Maastrichtian	Maastrichtian	687	245	91	63	524	215	86	48	1	0
192	not	Rayososaurus_agrioensis	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Early_Cenomanian	Early_Cenomanian	1250	474	178	121	NA	NA	NA	NA	0	0
193	Rebbachisaurus	Rebbachisaurus_garasbae	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Albian	Cenomanian	NA	NA	NA	NA	NA	NA	153	125	0	0
194	Rhoetosaurus	Rhoetosaurus_brownei	Sauropodomorpha	Sauropoda	Sauropoda	Late_Bathonian	Middle_Callovian	NA	696	NA	NA	NA	NA	NA	NA	0	0
195	Rinconsaurus	Rinconsaurus_caudamirus	Sauropodomorpha	Titanosauria	Titanosauria	Coniacian	Coniacian	990	340	NA	NA	790	300	NA	NA	0	1
196	Riojasaurus	Riojasaurus_incertus	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_2	Norian	Norian	608	285	106	66	482	229	89	57	0	0
197	Rocasaurus	Rocasaurus_muniozi	Sauropodomorpha	Titanosauria	Titanosauria	Late_Campanian	Early_Maastrichtian	812	NA	141	70	NA	NA	NA	NA	1	0
198	Ruehleia	Ruehleia_bedheimensis	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Rhaetian	Rhaetian	752	285	NA	NA	475	183	53	59	0	0
199	Ruyangosaurus	Ruyangosaurus_giganteus	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Cenomanian	Turonian	NA	905	330	NA	NA	NA	NA	NA	0	0
200	Saltasaurus	Saltasaurus_loricatus	Sauropodomorpha	Titanosauria	Titanosauria	Early_Maastrichtian	Early_Maastrichtian	875	385	NA	NA	550	341	131	67	0	1
201	not	Saltasaurus_loricatus	Sauropodomorpha	Titanosauria	Titanosauria	Early_Maastrichtian	Early_Maastrichtian	750	363	140	68	NA	NA	NA	NA	0	0
202	Sarahsaurus	Sarahsaurus_aurifontanalis	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Sinemurian	Pliensbachian	340	NA	43	23	190	NA	28	20	0	0
203	Saturnalia	Saturnalia_tupiniquim	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Early_Carnian	Middle_Carnian	157	52	14.5	15.5	97	NA	10.5	10	0	0
204	Sauroposeidon	Sauroposeidon_proteles	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Late_Aptian	Middle_Albian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
205	Seitaad	Seitaad_ruessi	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_2	Pliensbachian	Toarcian	NA	NA	NA	NA	182	NA	NA	NA	0	0
206	not	Shunosaurus_lii	Sauropodomorpha	Eusauropoda	Eusauropoda	Bajocian	Callovian	1200	NA	165	NA	720	NA	114	NA	0	0
207	Shunosaurus	Shunosaurus_lii	Sauropodomorpha	Eusauropoda	Eusauropoda	Bajocian	Callovian	1250	NA	188	NA	NA	NA	NA	NA	0	0
208	not	Sonidosaurus_saihangaobiensis	Sauropodomorpha	Titanosauria	Titanosauria	Turonian	Santonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
209	Sonorasaurus	Sonorasaurus_thompsoni	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Albian	Cenomanian	NA	700	270	150	NA	NA	NA	NA	0	0
210	Spinophorosaurus	Spinophorosaurus_nigerensis	Sauropodomorpha	Sauropoda	Sauropoda	Middle_Jurassic	Middle_Jurassic	1215	NA	180	100	1121	NA	150	NA	0	1
211	not	Supersaurus_vivianae	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Kimmeridgian	Tithonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
212	Suuwassea	Suuwassea_emilieae	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Kimmeridgian	Tithonian	NA	NA	NA	NA	752	402	143	NA	0	0
213	Tangvayosaurus	Tangvayosaurus_hoffeti	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Aptian	Albian	1620	680	320	NA	NA	NA	NA	NA	0	0
214	Tapuiasaurus	Tapuiasaurus_macedoi	Sauropodomorpha	Titanosauria	Titanosauria	Aptian	Aptian	NA	NA	175	NA	NA	NA	NA	NA	0	0
215	Tastavinsaurus	Tastavinsaurus_sanzi	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Early_Aptian	Early_Aptian	1310	550	210	125	NA	NA	NA	NA	0	0
216	Tazoudasaurus	Tazoudasaurus_naimi	Sauropodomorpha	Sauropoda	Sauropoda	Pliensbachian	Toarcian	1230	NA	NA	NA	1030	405	150	87	0	1
217	Tehuelchesaurus	Tehuelchesaurus_benitezii	Sauropodomorpha	Macronaria	Macronaria	Kimmeridgian	Tithonian	1580	870	NA	NA	1140	615	NA	NA	0	0
218	not	Tendaguria_tanzaniensis	Sauropodomorpha	Eusauropoda	Eusauropoda	Late_Kimmeridgian	Tithonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
219	Thecodontosaurus	Thecodontosaurus_antiquus	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Rhaetian	Rhaetian	NA	NA	NA	NA	NA	NA	NA	NA	1	1
220	not	Tonganosaurus_hei	Sauropodomorpha	Sauropoda	Sauropoda	Early_Jurassic	Early_Jurassic	840	NA	147	NA	628	NA	96	NA	0	0
221	Tornieria	Tornieria_africana	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Late_Kimmeridgian	Tithonian	1420	545	200	NA	960	NA	155	89	0	0
222	not	Traukutitan_eocaudata	Sauropodomorpha	Titanosauria	Titanosauria	Santonian	Santonian	1860	796	NA	NA	NA	NA	NA	NA	0	0
223	not	Trigonosaurus_pricei	Sauropodomorpha	Titanosauria	Titanosauria	Late_Maastrichtian	Late_Maastrichtian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
224	Turiasaurus	Turiasaurus_riodevensis	Sauropodomorpha	Eusauropoda	Eusauropoda	Tithonian	Early_Berriasian	NA	848	NA	NA	1790	755	308	155	0	0
225	not	Uberabatitan_ribeiroi	Sauropodomorpha	Titanosauria	Titanosauria	Maastrichtian	Maastrichtian	NA	NA	NA	NA	NA	NA	150	NA	0	0
226	Unaysaurus	Unaysaurus_tolentinoi	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Norian	Norian	NA	NA	NA	NA	158	NA	20	NA	0	1
227	Venenosaurus	Venenosaurus_dicrocei	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Aptian	Aptian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
228	not	Volkheimeria_chubutensis	Sauropodomorpha	Sauropoda	Sauropoda	Aalenian	Early_Bathonian	655	257	75	90	NA	NA	NA	NA	1	0
229	Vulcanodon	Vulcanodon_karibaensis	Sauropodomorpha	Sauropoda	Sauropoda	Hettangian	Hettangian	1100	NA	174	140	700	NA	137	92	0	0
230	Wintonotitan	Wintonotitan_wattsi	Sauropodomorpha	Titanosauriformes	Titanosauriformes	Late_Albian	Late_Albian	NA	NA	NA	NA	NA	460	195	NA	0	0
231	not	Xenoposeidon_proneukos	Sauropodomorpha	Macronaria	Macronaria	Early_Valanginian	Early_Valanginian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
232	not	Xianshanosaurus_shijiagouensis	Sauropodomorpha	Titanosauria	Titanosauria	Cenomanian	Turonian	1260	580	192	NA	NA	NA	NA	NA	0	0
233	not	Xixiposaurus_suni_	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Hettangian	Sinemurian	429	NA	46	50	289	NA	31	30	0	0
234	not	Yimenosaurus_youngi	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_1	Early_Jurassic	Early_Jurassic	872	343	NA	NA	NA	NA	NA	NA	0	0
235	Yuanmousaurus_jiangyiensis	Yuanmousaurus_jiangyiensis	Sauropodomorpha	Eusauropoda	Eusauropoda	Middle_Jurassic	Middle_Jurassic	1370	450	NA	NA	980	360	NA	NA	0	0
236	Yunnanosaurus_huangi	Yunnanosaurus_huangi	Sauropodomorpha	Sauropodomorpha	Sauropodomorpha_2	Hettangian	Sinemurian	435	NA	60	55	231	NA	36	39	0	0
237	Zapalasaurus	Zapalasaurus_bonapartei	Sauropodomorpha	Diplodocoidea	Diplodocoidea	Late_Barremian	Early_Aptian	1000	NA	170	98	NA	NA	NA	NA	0	0
238	not	Zby_atlanticus	Sauropodomorpha	Eusauropoda	Eusauropoda	NA	NA	NA	NA	NA	NA	1530	620	238	130	0	0
239	Abelisaurus	Abelisaurus_comahuensis	Theropoda	Ceratosauria	Ceratosauria	Early_Campanian	Middle_Campanian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
240	not	Achillesaurus_manazzonei	Theropoda	Alvarezsauroidea	Alvarezsauroidea	Santonian	Santonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
241	Achillobator	Achillobator_giganticus	Theropoda	Dromaeosauridae	Dromaeosauridae	Cenomanian	Santonian	505	NA	67.3	NA	NA	NA	NA	NA	0	0
242	Acrocanthosaurus	Acrocanthosaurus_atokensis	Theropoda	Allosauroidea	Allosauroidea	Aptian	Aptian	1180	426	142	124	380	195	NA	NA	0	0
243	Adasaurus	Adasaurus_mongoliensis	Theropoda	Dromaeosauridae	Dromaeosauridae	Late_Campanian	Early_Maastrichtian	273	87	NA	NA	NA	NA	NA	NA	0	0
244	Aerosteon	Aerosteon_riocoloradensis	Theropoda	Allosauroidea	Allosauroidea	Early_Campanian	Campanian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
245	Afrovenator	Afrovenator_abakensis	Theropoda	Megalosauroidea	Megalosauroidea	Middle_Jurassic	Late_Jurassic	760	275	NA	NA	NA	NA	NA	NA	0	0
246	not	Albertonykus_borealis	Theropoda	Alvarezsauroidea	Alvarezsauroidea	Early_Maastrichtian	Early_Maastrichtian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
247	Albertosaurus	Albertosaurus_sarcophagus	Theropoda	Tyrannosauroidea	Tyrannosauroidea	Campanian	Maastrichtian	1020	350	NA	NA	305	NA	NA	NA	0	0
248	not	Alectrosaurus_olseni	Theropoda	Tyrannosauroidea	Tyrannosauroidea	Campanian	Maastrichtian	661	229	NA	72.3	NA	NA	NA	NA	0	0
249	not	Alethoalaornis_agitornis	Theropoda	Avialae	Avialae	Aptian	Aptian	28.3	NA	NA	3.3	29.3	NA	NA	NA	0	0
250	not	Alexornis_antecedens	Theropoda	Avialae	Avialae	Campanian	Campanian	NA	NA	2	1.8	NA	NA	2.3	1.8	0	0
251	Alioramus	Alioramus_spp.	Theropoda	Tyrannosauroidea	Tyrannosauroidea	Late_Campanian	Early_Maastrichtian	560	170	57	44	NA	NA	NA	NA	1	0
252	Allosaurus	Allosaurus_fragilis	Theropoda	Allosauroidea	Allosauroidea	Kimmeridgian	Tithonian	973	381	129	115.7	NA	NA	NA	NA	0	0
253	not	Allosaurus_fragilis	Theropoda	Allosauroidea	Allosauroidea	Kimmeridgian	Tithonian	742	NA	NA	NA	318	NA	NA	NA	0	0
254	Alvarezsaurus	Alvarezsaurus_calvoi	Theropoda	Alvarezsauroidea	Alvarezsauroidea	Santonian	Santonian	NA	NA	10.3	9.7	NA	NA	NA	NA	0	0
255	Alxasaurus	Alxasaurus_elesitaiensis	Theropoda	Therizinosauria	Therizinosauria	Aptian	Aptian	555	NA	NA	NA	375	NA	NA	NA	0	0
256	Ambiortus	Ambiortus	Theropoda	Avialae	Avialae	Hauterivian	Hauterivian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
257	Anchiornis	Anchiornis_huxleyi	Theropoda	Troodontidae	Troodontidae	Late_Bathonian	Early_Kimmeridgian	66.2	NA	NA	5.7	69	NA	NA	NA	0	0
258	Angaturama	Angaturama_limai	Theropoda	Megalosauroidea	Megalosauroidea	Albian	Albian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
259	not	Aniksosaurus_darwini	Theropoda	basal_coelurosaur	basal_coelurosaur	Cenomanian	Cenomanian	247	NA	27	NA	NA	NA	NA	NA	0	0
260	Anserimimus	Anserimimus_planinychus	Theropoda	Ornithomimosauria	Ornithomimosauria	Late_Campanian	Early_Maastrichtian	433	145	NA	NA	250	NA	NA	NA	0	0
261	not	Apatornis_celer	Theropoda	Avialae	Avialae	Coniacian	Santonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
262	Appalachiosaurus	Appalachiosaurus_montgomeriensis	Theropoda	Tyrannosauroidea	Tyrannosauroidea	Campanian	Campanian	786	260	NA	NA	NA	NA	NA	NA	0	0
263	Apsaravis	Apsaravis_ukhaana	Theropoda	Avialae	Avialae	Campanian	Campanian	41	NA	3	3	48	NA	NA	NA	0	0
264	not	Archaeopteryx_lithographica	Theropoda	Avialae	Avialae	Early_Tithonian	Early_Tithonian	53	NA	3.5	NA	64	NA	NA	NA	1	0
265	Archaeopteryx	Archaeopteryx_lithographica	Theropoda	Avialae	Avialae	Early_Tithonian	Early_Tithonian	70	NA	6.5	NA	83	NA	NA	NA	1	0
266	Archaeorhynchus	Archaeorhynchus_spathula	Theropoda	Avialae	Avialae	Late_Barremian	Early_Aptian	37	NA	NA	3.5	53	NA	NA	NA	1	0
267	not	Archaeornithoides_deinosauriscus	Theropoda	Troodontidae	Troodontidae	Late_Campanian	Late_Campanian	NA	NA	NA	NA	NA	NA	NA	NA	1	0
268	Archaeornithomimus	Archaeornithomimus_asiaticus	Theropoda	Ornithomimosauria	Ornithomimosauria	Turonian	Santonian	402	148	NA	46	275	NA	NA	NA	0	1
269	not	Aristosuchus_pusillus	Theropoda	basal_coelurosaur	basal_coelurosaur	Barremian	Barremian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
270	not	Asiahesperornis_bazhanovi	Theropoda	Avialae	Avialae	Maastrichtian	Maastrichtian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
271	Atrociraptor	Atrociraptor_marshalli	Theropoda	Dromaeosauridae	Dromaeosauridae	Late_Campanian	Early_Maastrichtian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
272	Aucasaurus	Aucasaurus_garridoi	Theropoda	Ceratosauria	Ceratosauria	Early_Campanian	Campanian	730	256	NA	NA	265	115	NA	NA	0	0
273	not	Austinornis_lentus	Theropoda	Avialae	Avialae	Coniacian	Coniacian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
274	Australovenator	Australovenator_wintonensis	Theropoda	Allosauroidea	Allosauroidea	Late_Albian	Late_Albian	578	178	56	61	305	NA	NA	NA	0	0
275	Austroraptor	Austroraptor_cabazai	Theropoda	Dromaeosauridae	Dromaeosauridae	Campanian	Maastrichtian	560	NA	71	NA	260	NA	NA	NA	0	0
276	not	Aviatyrannis_jurassica	Theropoda	Tyrannosauroidea	Tyrannosauroidea	Kimmeridgian	Kimmeridgian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
277	Avimimus	Avimimus_portentosus	Theropoda	Oviraptorosauria	Oviraptorosauria	Campanian	Campanian	186	52.8	14.3	16.3	93	NA	NA	NA	0	0
278	not	Avisaurus_archibaldi	Theropoda	Avialae	Avialae	Late_Maastrichtian	Late_Maastrichtian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
279	not	Avisaurus_gloriae	Theropoda	Avialae	Avialae	Campanian	Campanian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
280	not	Bagaraatan_ostromi	Theropoda	basal_coelurosaur	basal_coelurosaur	Late_Campanian	Early_Maastrichtian	NA	105	NA	NA	NA	NA	NA	NA	0	0
281	Balaur	Balaur_bondoc	Theropoda	Dromaeosauridae	Dromaeosauridae	Maastrichtian	Maastrichtian	NA	NA	NA	NA	117	NA	NA	NA	1	0
282	not	Balaur_bondoc	Theropoda	Dromaeosauridae	Dromaeosauridae	Maastrichtian	Maastrichtian	NA	NA	NA	NA	170	NA	NA	NA	0	0
283	not	Bahariasaurus_ingens	Theropoda	Ceratosauria	Ceratosauria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
284	Bambiraptor	Bambiraptor_feinbergorum	Theropoda	Dromaeosauridae	Dromaeosauridae	Campanian	Campanian	120	35	12	NA	103	NA	NA	NA	0	0
285	Baptornis_advenus	Baptornis_advenus	Theropoda	Avialae	Avialae	Coniacian	Santonian	75	NA	11	12.5	NA	NA	NA	NA	1	0
286	Baptornis_varneri	Baptornis_varneri	Theropoda	Avialae	Avialae	Campanian	Campanian	NA	NA	15	15.8	NA	NA	NA	NA	0	0
287	Baryonyx	Baryonyx_walkeri	Theropoda	Megalosauroidea	Megalosauroidea	Early_Barremian	Early_Barremian	NA	NA	NA	NA	463	NA	NA	NA	1	0
288	not	Becklespinax_altipinax	Theropoda	Allosauroidea	Allosauroidea	Berriasian	Valanginian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
289	Beipiaosaurus	Beipiaosaurus_inexpectus	Theropoda	Therizinosauria	Therizinosauria	Late_Barremian	Early_Aptian	263	NA	39.1	NA	NA	NA	NA	NA	0	0
290	Beishanlong	Beishanlong_grandis	Theropoda	Ornithomimosauria	Ornithomimosauria	Aptian	Albian	660	NA	70	NA	465	NA	NA	NA	0	0
291	Dromiceomimus	Dromiceoiomimus_breviterius	Theropoda	Ornithomimosauria	Ornithomimosauria	Maastrichtian	Maastrichtian	432	127.5	33.5	41	NA	NA	NA	NA	0	0
292	not	Dromiceoiomimus_breviterius	Theropoda	Ornithomimosauria	Ornithomimosauria	Maastrichtian	Maastrichtian	378	NA	NA	NA	283	NA	NA	NA	0	0
293	not	Berberosaurus	Theropoda	Ceratosauria	Ceratosauria	Pliensbachian	Toarcian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
294	Boluochia	Boluochia_zhengi	Theropoda	Avialae	Avialae	Aptian	Aptian	NA	NA	3	NA	NA	NA	NA	NA	0	0
295	not	Borogovia_gracilicrus	Theropoda	Troodontidae	Troodontidae	Late_Campanian	Early_Maastrichtian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
296	Buitreraptor	Buitreraptor_gonzalezorum	Theropoda	Dromaeosauridae	Dromaeosauridae	Early_Cenomanian	Early_Cenomanian	147	34	NA	NA	135	25	NA	NA	0	0
297	Byronosaurus	Byronosaurus_jaffei	Theropoda	Troodontidae	Troodontidae	Campanian	Campanian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
298	Caenagnathasia	Caenagnathasia_martinsoni	Theropoda	Oviraptorosauria	Oviraptorosauria	Turonian	Late_Turonian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
299	Caenagnathus	Caenagnathus_collinsi	Theropoda	Oviraptorosauria	Oviraptorosauria	Late_Campanian	Late_Campanian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
300	Carcharodontosaurus	Carcharodontosaurus_saharicus	Theropoda	Allosauroidea	Allosauroidea	Early_Cenomanian	Early_Cenomanian	1177	NA	136	NA	NA	NA	NA	NA	0	0
301	Carnotaurus	Carnotaurus_sastrei	Theropoda	Ceratosauria	Ceratosauria	Campanian	Campanian	1035	325	94.6	95.6	284	NA	NA	NA	0	0
302	not	Cathayornis_yandica	Theropoda	Avialae	Avialae	Aptian	Aptian	23	NA	1.6	NA	27	NA	NA	NA	0	0
303	Caudipteryx	Caudipteryx_zhoui	Theropoda	Oviraptorosauria	Oviraptorosauria	Late_Barremian	Early_Aptian	149	NA	17	16	70	NA	NA	NA	0	0
304	not	Ceramornis_major	Theropoda	Avialae	Avialae	Late_Maastrichtian	Late_Maastrichtian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
305	not	Ceratonykus_oculatus	Theropoda	Alvarezsauroidea	Alvarezsauroidea	Campanian	Campanian	NA	NA	NA	4.3	NA	NA	NA	NA	0	0
306	Ceratosaurus	Ceratosaurus_nasicornis	Theropoda	Ceratosauria	Ceratosauria	Kimmeridgian	Tithonian	759	268	90.4	NA	330	130	NA	NA	0	0
307	not	Ceratosaurus_nasicornis	Theropoda	Ceratosauria	Ceratosauria	Kimmeridgian	Tithonian	620	NA	70	62	NA	NA	NA	NA	0	0
308	Changchengornis	Changchengornis_hengdaoziensis	Theropoda	Avialae	Avialae	Late_Barremian	Early_Aptian	33.4	NA	NA	2.9	33.5	NA	NA	NA	0	0
309	Chaoyangia	Chaoyangia_beishanensis	Theropoda	Avialae	Avialae	Aptian	Aptian	45	NA	4.2	NA	NA	NA	NA	NA	0	0
310	Chilantaisaurus	Chilantaisaurus_tashuikouensis	Theropoda	Allosauroidea	Allosauroidea	Turonian	Turonian	1190	432	NA	NA	580	NA	NA	NA	0	0
311	Chirostenotes	Chirostenotes_pergracilis	Theropoda	Oviraptorosauria	Oviraptorosauria	Late_Campanian	Late_Campanian	310	92	NA	NA	NA	NA	NA	NA	0	0
312	Chuandongocoelurus	Chuandongocoelurus_primitivus	Theropoda	basal_theropod	basal_theropod	Bajocian	Callovian	200	63	NA	NA	NA	NA	NA	NA	1	0
313	not	Cimolopteryx	Theropoda	Avialae	Avialae	Late_Maastrichtian	Late_Maastrichtian	NA	NA	NA	NA	NA	NA	NA	NA	0	0
